test,xprize_subdomain,idtype_label,sex_label,age_measure_bin,n_obs,n_subjects
dsb,Executive Function & Processing,Gen3,Women,65-69,76,74
dsb,Executive Function & Processing,Original,Women,70-74,93,87
dsb,Executive Function & Processing,Offspring,Women,70-74,547,470
dsb,Executive Function & Processing,Gen3,Women,70-74,17,17
dsb,Executive Function & Processing,Original,Women,75-79,192,162
dsb,Executive Function & Processing,Offspring,Women,75-79,539,415
dsb,Executive Function & Processing,Gen3,Women,75-79,4,4
dsb,Executive Function & Processing,Original,Women,80-84,537,330
dsb,Executive Function & Processing,Offspring,Women,80-84,375,298
dsb,Executive Function & Processing,Gen3,Women,80-84,1,1
dsb,Executive Function & Processing,Original,Women,85-89,719,393
dsb,Executive Function & Processing,Offspring,Women,85-89,191,157
dsb,Executive Function & Processing,Gen3,Women,85-89,1,1
dsb,Executive Function & Processing,Original,Women,>=90,562,289
dsb,Executive Function & Processing,Offspring,Women,>=90,74,55
dsb,Executive Function & Processing,Gen3,Women,>=90,0,0
dsb,Executive Function & Processing,Original,Men,<30,0,0
dsb,Executive Function & Processing,Offspring,Men,<30,0,0
dsb,Executive Function & Processing,Gen3,Men,<30,18,18
dsb,Executive Function & Processing,Original,Men,30-34,0,0
dsb,Executive Function & Processing,Offspring,Men,30-34,0,0
dsb,Executive Function & Processing,Gen3,Men,30-34,60,60
dsb,Executive Function & Processing,Original,Men,35-39,0,0
dsb,Executive Function & Processing,Offspring,Men,35-39,0,0
dsb,Executive Function & Processing,Gen3,Men,35-39,119,119
dsb,Executive Function & Processing,Original,Men,40-44,0,0
dsb,Executive Function & Processing,Offspring,Men,40-44,4,4
dsb,Executive Function & Processing,Gen3,Men,40-44,206,206
dsb,Executive Function & Processing,Original,Men,45-49,0,0
dsb,Executive Function & Processing,Offspring,Men,45-49,23,22
dsb,Executive Function & Processing,Gen3,Men,45-49,350,346
dsb,Executive Function & Processing,Original,Men,50-54,0,0
dsb,Executive Function & Processing,Offspring,Men,50-54,58,55
dsb,Executive Function & Processing,Gen3,Men,50-54,362,358
dsb,Executive Function & Processing,Original,Men,55-59,0,0
dsb,Executive Function & Processing,Offspring,Men,55-59,170,157
dsb,Executive Function & Processing,Gen3,Men,55-59,320,314
dsb,Executive Function & Processing,Original,Men,60-64,2,2
dsb,Executive Function & Processing,Offspring,Men,60-64,338,303
dsb,Executive Function & Processing,Gen3,Men,60-64,203,198
dsb,Executive Function & Processing,Original,Men,65-69,59,57
dsb,Executive Function & Processing,Offspring,Men,65-69,435,386
dsb,Executive Function & Processing,Gen3,Men,65-69,74,67
dsb,Executive Function & Processing,Original,Men,70-74,124,115
dsb,Executive Function & Processing,Offspring,Men,70-74,474,422
dsb,Executive Function & Processing,Gen3,Men,70-74,22,20
