model_version,test,equation,term,estimate,std_error,p_value,n_obs
crude_2visit,lmr,baseline_firsttest,age_bl,0.08,0.02,0.000,3555
crude_2visit,lmr,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,3555
crude_2visit,lmr,baseline_firsttest,sex_labelMen,0.64,0.81,0.433,3555
crude_2visit,lmr,baseline_firsttest,age_bl:sex_labelMen,-0.04,0.03,0.162,3555
crude_2visit,lmr,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.096,3555
crude_2visit,lmr,first_followup_retest,(Intercept),6.84,0.72,0.000,3555
crude_2visit,lmr,first_followup_retest,age_fu1,0.12,0.02,0.000,3555
crude_2visit,lmr,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,3555
crude_2visit,lmr,first_followup_retest,sex_labelMen,-0.93,1.15,0.419,3555
crude_2visit,lmr,first_followup_retest,age_fu1:sex_labelMen,0.01,0.03,0.698,3555
crude_2visit,lmr,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.874,3555
crude_2visit,pasd,baseline_firsttest,(Intercept),9.30,0.53,0.000,3485
crude_2visit,pasd,baseline_firsttest,age_bl,0.03,0.02,0.122,3485
crude_2visit,pasd,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,3485
crude_2visit,pasd,baseline_firsttest,sex_labelMen,1.16,0.85,0.174,3485
crude_2visit,pasd,baseline_firsttest,age_bl:sex_labelMen,-0.05,0.03,0.063,3485
crude_2visit,pasd,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.078,3485
crude_2visit,pasd,first_followup_retest,(Intercept),8.29,0.77,0.000,3485
crude_2visit,pasd,first_followup_retest,age_fu1,0.07,0.02,0.004,3485
crude_2visit,pasd,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,3485
crude_2visit,pasd,first_followup_retest,sex_labelMen,2.10,1.23,0.087,3485
crude_2visit,pasd,first_followup_retest,age_fu1:sex_labelMen,-0.08,0.04,0.042,3485
crude_2visit,pasd,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.047,3485
crude_2visit,pasi,baseline_firsttest,(Intercept),17.94,1.25,0.000,3793
crude_2visit,pasi,baseline_firsttest,age_bl,0.02,0.04,0.701,3793
crude_2visit,pasi,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,3793
crude_2visit,pasi,baseline_firsttest,sex_labelMen,0.41,1.99,0.835,3793
crude_2visit,pasi,baseline_firsttest,age_bl:sex_labelMen,-0.07,0.06,0.286,3793
crude_2visit,pasi,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.230,3793
crude_2visit,pasi,first_followup_retest,(Intercept),16.62,1.72,0.000,3793
crude_2visit,pasi,first_followup_retest,age_fu1,0.08,0.05,0.100,3793
crude_2visit,pasi,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,3793
crude_2visit,pasi,first_followup_retest,sex_labelMen,1.06,2.73,0.698,3793
crude_2visit,pasi,first_followup_retest,age_fu1:sex_labelMen,-0.09,0.08,0.289,3793
crude_2visit,pasi,first_followup_retest,I(age_fu1^2):sex_labelMen,0.00,0.00,0.225,3793
crude_2visit,pasr,baseline_firsttest,(Intercept),7.75,0.32,0.000,2556
crude_2visit,pasr,baseline_firsttest,age_bl,0.09,0.01,0.000,2556
crude_2visit,pasr,baseline_firsttest,I(age_bl^2),0.00,0.00,0.000,2556
crude_2visit,pasr,baseline_firsttest,sex_labelMen,1.01,0.50,0.044,2556
crude_2visit,pasr,baseline_firsttest,age_bl:sex_labelMen,-0.04,0.02,0.018,2556
crude_2visit,pasr,baseline_firsttest,I(age_bl^2):sex_labelMen,0.00,0.00,0.009,2556
crude_2visit,pasr,first_followup_retest,(Intercept),5.81,0.60,0.000,2556
crude_2visit,pasr,first_followup_retest,age_fu1,0.15,0.02,0.000,2556
crude_2visit,pasr,first_followup_retest,I(age_fu1^2),0.00,0.00,0.000,2556
crude_2visit,pasr,first_followup_retest,sex_labelMen,1.89,0.95,0.048,2556
crude_2visit,pasr,first_followup_retest,age_fu1:sex_labelMen,-0.06,0.03,0.030,2556
